id,plattform,verktyg,beskrivning,funktionsomrade,adopt,trial,assess,hold,createdAt,updatedAt
5,"Digital Arbetsplats",M365,"Verktyg för att skapa och samarbeta digitalt.",Samarbete,No,Yes,Yes,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
10,Lagringsplattformar,"Azure Blob Storage","Molnlagring för strukturerad och ostrukturerad data.",Lagringsplattformar,No,Yes,Yes,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
12,"Nätverk",Cisco,"Nätverkslösningar för företagsinfrastruktur.","Nätverk",Yes,Yes,No,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
16,Server,Linux,"Operativsystem för serverhantering.",Server,Yes,No,No,No,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
17,Skyddsfunktioner,CrowdStrike,"Verktyg för endpoint security.","Säkerhet & Sårbarhet",Yes,No,Yes,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
18,"Säkerhet & Sårbarhet",Fortinet,"Verktyg för nätverkssäkerhet.","Skyddsförmågor",No,Yes,Yes,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
19,"Test & Deploy",Jenkins,"CI/CD-verktyg för att automatisera tester och deploy.","Test & Deploy",No,No,Yes,Yes,"2024-10-07 20:40:16.211023","2024-10-07 20:40:16.211023"
24,Analys/logg,Fodora,"dfd fd f d f d f d. f df","Digital arbetsplats",Nej,Nej,Nej,Ja,"2024-10-09 10:09:00","2024-10-09 10:09:00"
27,Analys/Logg,"Azure Monitor log","Produktionsstöd","Samla in loggar från Azure till Splunk",Yes,No,No,No,,
28,Analys/Logg,"Helium log","Produktionsstöd","Helium Log är Skandia:s logghanteringssystem. Varför loggning? Korrekt logghantering i IT-system är avgörande för att uppfylla säkerhetskrav på spårbarhet samt för att stödja åtgärder vid teknisk drift, som felsökning och driftövervakning. Samma logginformation kan ha flera olika syften och intressenter, exempelvis både vid felsökning och vid utredning av säkerhetsincidenter. Gränssnitt för sökningar mot underliggande databaser, se Relations .Handläggarverktyg för slagningar mot underliggande databaser. En del av Adminportalen http://admin.skandianet.org/log Använder MSMQ och NserviceBus",Yes,No,No,No,,
29,Analys/Logg,Splunk,"Produktionsstöd","Search, Analyze and Visualize machine data, including system log, application log, security log and audit log. Used in alarms, troubleshooting, security, compliance and auditing",No,No,Yes,No,,
